,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
47,"48 Papiers et cartons; ouvrages en pâte de cellulose, en papier et en carton",3709291.0,4885111.0,3888825.0,3903598.0,7608983.0,4434104.0,3590817.0,5622892.0,1885151.0,7658273.0,5377701.0,5342259.0,3855057.0,5929998.0,6282033.0,7833456.0,8349914.0,8029384.0,8134141.0,9733913.0,2424774.0,1452424.0,2150560.0,10126431.0,2959920.0,3964420.0,190740.0,894920.0,170410.0,683040.0
48,"49 Produits de l'édition, de la presse ou des autres industries graphiques; textes manuscrits ou dactylographiés et plans",191602143.0,3484858.0,96805397.0,55790114.0,231378472.0,25559704.0,21785008.0,81189383.0,16018962.0,24179969.0,48472197.0,23371505.0,39032665.0,24134618.0,21578511.0,27949379.0,22211101.0,21042622.0,26624024.0,22069741.0,19571322.0,12880117.0,13798343.0,20303627.0,20299730.0,16751360.0,7309011.0,8218859.0,12577832.0,5283102.0
49,50 Soies,,,,,,,3980.0,,,32500.0,42999.0,,3104.0,1300.0,2600.0,,6961.0,2810.0,,,,,,3160.0,,,,,,
50,52 Coton,126204.0,278720.0,108500.0,264855.0,811624.0,404378.0,208800.0,2000.0,104689.0,344861.0,1317428.0,6051.0,232670.0,4570086.0,1572851.0,819090.0,404360.0,574117.0,520186.0,3742948.0,2675000.0,691627.0,1515704.0,667318.0,,1029780.0,5454790.0,636740.0,234530.0,198650.0
51,53 Autres fibres textiles végétales; fils de papier et tissus de fils de papier,,,,,,,,,,135790.0,,3390.0,,,,82672.0,,,236447.0,,,,,23500.0,,336110.0,,,,
52,54 Filaments synthétiques ou artificiels; lames et formes similaires en matières textiles synthétiques ou artificielles,5641.0,1112.0,6929.0,7492.0,219125.0,292485.0,59220.0,6641.0,100417.0,31689.0,225704.0,60078.0,5570.0,304504.0,14336.0,11850.0,424013.0,892106.0,1163442.0,288043.0,552902.0,137802.0,15000.0,758138.0,,3740.0,,,,
53,55 Fibres synthétiques ou artificielles discontinues,1387.0,75600.0,164044.0,36540.0,189794.0,505639.0,2371076.0,130705.0,175212.0,103600.0,22254.0,15806.0,661039.0,350611.0,1252355.0,3425732.0,3853444.0,6306593.0,4577663.0,7665810.0,6801547.0,8365626.0,7593526.0,14184387.0,21706020.0,16400240.0,2830500.0,856140.0,,
54,"56 Ouates, feutres et non-tissés; fils spéciaux; ficelles, cordes et cordages; articles de corderie",1156499.0,359940.0,1612461.0,2203974.0,1113856.0,701766.0,407896.0,370311.0,277733.0,508105.0,499380.0,212845.0,1102331.0,231632.0,3068106.0,30484.0,946326.0,142814.0,126506.0,1542234.0,39004.0,,1045.0,85885.0,95000.0,176520.0,120590.0,,211940.0,3753170.0
55,57 Tapis et autres revêtements de sol en matières textiles,,303575.0,3190.0,168383.0,,778790.0,3034.0,1275419.0,6607.0,1283774.0,1024679.0,738056.0,34848.0,117181.0,97480.0,171240.0,952.0,98000.0,,115024.0,,,,37710.0,,3816360.0,3872500.0,3636360.0,,
56,58 Tissus spéciaux; surfaces textiles touffetées; dentelles; tapisseries; passementeries; broderies,,16000.0,5051.0,14440.0,192361.0,212749.0,17150.0,34931.0,41397.0,94710.0,22800.0,29560.0,8800.0,208038.0,,117002.0,197021.0,105771.0,144371.0,213605.0,,,,95985.0,,,,104210.0,,
57,"59 Tissus imprégnés, enduits, recouverts ou stratifiés; articles techniques en matières textiles",37600.0,76666.0,36476.0,69025.0,,119826.0,318812.0,131320.0,71642.0,303968.0,305500.0,,1310.0,,,1843.0,2700.0,,9334.0,80825.0,129115.0,18192.0,,55104.0,,78180.0,419580.0,,,
58,60 Etoffes de bonneterie,1482330.0,841920.0,415928.0,1257666.0,892990.0,89760.0,,,,4776.0,,,,,,,,,,,,,,,,,,,,
59,"61 Vêtements et accessoires du vêtement, en bonneterie",25323609.0,11542012.0,10228371.0,21534817.0,25245923.0,23231179.0,21995511.0,25795631.0,25753052.0,21612401.0,15019489.0,16597295.0,10443728.0,9341546.0,29106841.0,10426697.0,11331816.0,13865463.0,9931535.0,24348643.0,17835096.0,9735174.0,12363645.0,10503181.0,5279270.0,5765200.0,4725340.0,1764280.0,1146200.0,870110.0
60,"62 Vêtements et accessoires du vêtement, autres qu'en bonneterie",45077693.0,44985726.0,31381372.0,57297390.0,60267962.0,64724309.0,59754362.0,40777396.0,40314776.0,44378668.0,36783433.0,26069672.0,26798840.0,40847287.0,84592445.0,55676050.0,50588014.0,38964999.0,61189983.0,50366333.0,34143766.0,15628990.0,16332197.0,12333916.0,22170460.0,17113350.0,23135220.0,13059890.0,14058536.0,8377030.0
61,63 Autres articles textiles confectionnés; assortiments; friperies et chiffons,10442512.0,14028336.0,11221475.0,41456166.0,14886778.0,18313751.0,29550894.0,10347744.0,6073387.0,22860887.0,11955637.0,4020515.0,5089866.0,6433272.0,4088936.0,2537199.0,9711229.0,6693475.0,4651800.0,5039786.0,6818097.0,1736930.0,1234397.0,9549815.0,407230.0,1568470.0,1337280.0,1574460.0,5412020.0,133420.0
62,"64 Chaussures, guêtres et articles analogues; parties de ces objets",1235271.0,585496.0,882555.0,1324410.0,1669186.0,1750733.0,1948886.0,3831728.0,1987989.0,2035940.0,4122007.0,2870812.0,2560468.0,2734307.0,520186.0,419337.0,337629.0,2795884.0,827860.0,490826.0,760239.0,811654.0,379092.0,253919.0,255500.0,214180.0,763560.0,1041150.0,2260370.0,871920.0
63,65 Coiffures et parties de coiffures,2208193.0,816382.0,987687.0,2836832.0,1941657.0,3306481.0,801178.0,1358413.0,705450.0,1286176.0,284211.0,1190874.0,850108.0,1722672.0,1270347.0,801109.0,536401.0,847204.0,853851.0,1604137.0,1623772.0,830927.0,940739.0,271600.0,104380.0,39780.0,427000.0,,15190.0,24900.0
64,"66 Parapluies, ombrelles, parasols, cannes, cannes-sièges, fouets, cravaches et leurs parties",58917.0,34312.0,13999.0,122298.0,20924.0,146838.0,4576.0,37416.0,67771.0,23011.0,,129507.0,,63745.0,127064.0,71694.0,43144.0,6840.0,109338.0,,28672.0,,31000.0,,,,,,,
65,67 Plumes et duvet apprêtés et articles en plumes ou en duvet; fleurs artificielles; ouvrages en cheveux,198331.0,64057.0,287690.0,456395.0,911613.0,782674.0,892513.0,736709.0,657242.0,748160.0,621795.0,227206.0,80900.0,74600.0,152500.0,144600.0,,1500.0,24800.0,63900.0,21089.0,40000.0,,,,11000.0,,,100000.0,
66,"68 Ouvrages en pierres, plâtre, ciment, amiante, mica et matières analogues",25056967.0,4333888.0,8470442.0,15069567.0,5517303.0,14573440.0,8904998.0,10180371.0,16487602.0,50538723.0,6525307.0,2244869.0,79067.0,280000.0,3687901.0,1316071.0,1831489.0,589302.0,1046092.0,1365407.0,191151.0,1287824.0,2548956.0,557903.0,128320.0,454150.0,82340.0,,178380.0,711940.0
67,69 Produits céramiques,904869.0,1048422.0,1055909.0,3442465.0,3318889.0,2606189.0,3612214.0,1712674.0,2940908.0,2964915.0,298569.0,2214201.0,896767.0,5282045.0,4304745.0,5963582.0,2513892.0,2087321.0,189537.0,1242279.0,672186.0,628563.0,508780.0,953450.0,80060.0,,,793420.0,1802280.0,786149.0
68,70 Verre et ouvrages en verre,1642721.0,3326544.0,1684159.0,3402543.0,8042570.0,4572484.0,3780397.0,4104839.0,4366116.0,5486279.0,9635395.0,2626200.0,2568279.0,6258473.0,2558429.0,1667592.0,1590101.0,832426.0,1652696.0,904604.0,1298413.0,432103.0,239970.0,4496093.0,213330.0,6489900.0,126840.0,2993560.0,2959640.0,222150.0
69,"71 Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaqués ou doublés; bijouterie de fantaisie; monnaies",5419752085.0,5018640273.0,2590508700.0,5117065043.0,7731898230.0,8526432389.0,6848805715.0,7776659734.0,9050997799.0,8565149751.0,7793410198.0,7800248907.0,8098223328.0,8191427242.0,10447377509.0,12655189204.0,12579053978.0,13845972261.0,11984963476.0,10566799319.0,15133780269.0,15302283667.0,21317988804.0,19499447341.0,15479714914.0,15013365762.0,14610045617.0,9869173360.0,12117905722.0,7906145874.0
