,Provenance,2022,2022,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000,1999,1999,1998,1998,1997,1997,1996,1996,1995,1995,1994,1994,1993,1993
,,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids
62,Trinité-et-Tobago,,,83883.0,4.5,,,,,,,,,23609.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Uruguay,,,,,,,,,,,,,,,,,,,196547.0,0.0,,,,,,,466450.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Canada,451190558.0,14504.653000000002,312114967.0,8041.61,88791596.0,4955.392000000001,76641475.0,4865.846,66835870.0,8108.0,51442496.0,3428.0,39675994.0,20013.0,41484486.0,4639.0,225655752.0,6553.0,29932595.0,757.0,48179790.0,827.0,47063185.0,328.0,45359651.0,755.0,79918410.0,1344.0,220892717.0,2932.0,188454183.0,11918.0,229736317.0,50733.0,456243885.0,9311.0,246917229.0,42412.0,194066378.0,5622.0,156334951.0,11140.0,256818066.0,13132.0,181696490.0,10484.0,563323698.0,13991.0,736454000.0,2932.0,288605330.0,7115.0,404713780.0,4122.0,604281996.0,5598.0,189492240.0,1650.0,243760920.0,1929.0
65,Etats-Unis d'Amérique,2809124591.0,1758503.485000001,2413415812.0,2035197.4490000024,1669351753.0,1431726.7149999996,3671453668.0,2981208.5419999985,2206496126.0,2273020.0,2274962026.0,2025729.0,1981780416.0,2207818.0,2545004573.0,3071317.0,1808846255.0,2386599.0,1981637051.0,2679839.0,2190047960.0,3068412.0,2311745453.0,3094600.0,1597234323.0,2753550.0,1372463794.0,2902308.0,1309678460.0,1626286.0,1243424022.0,1926501.0,2260446024.0,3912492.0,2766366672.0,7931415.0,2817193279.0,7868152.0,2304453812.0,5070893.0,3155931874.0,4940016.0,4449463668.0,4718473.0,3060654735.0,3816799.0,2822812993.0,4124442.0,3204029380.0,3399762.0,3673352906.0,2124669.0,2191587529.0,262251.0,1939129625.0,114278.0,1807624060.0,2656241.0,1117047809.0,73303.0
66,Groenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369240.0,124.0,,,,,,,,
67,Bangladesh,,,,,,,,,,,7133931.0,182900.0,11600626.0,414240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bhoutan,,,,,,,,,,,,,,,,,,,,,,,53981.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Cambodge,,,,,,,,,,,,,2386600.0,5000.0,,,419984.0,1.0,825020.0,4.0,,,,,,,,,,,,,,,,,,,1453840.0,0.0,176000.0,0.0,1706947.0,1.0,2909000.0,6.0,,,,,,,,,,,,,,
70,Chine,199119241.0,1177931.8,219980394.0,1239076.4999999998,211610601.0,1180362.762,282957017.0,1472187.734,458981851.0,1835343.0,327781257.0,1430601.0,298880526.0,1320380.0,190555190.0,1161030.0,203264103.0,1563929.0,211613580.0,2164883.0,295754374.0,2511252.0,281004194.0,2238246.0,309234790.0,1596880.0,280800174.0,1362265.0,303069761.0,1649736.0,301390416.0,1752562.0,368221238.0,3165124.0,386290944.0,1896875.0,140362181.0,810922.0,103398497.0,596344.0,56038776.0,361611.0,8439350.0,31082.0,18622047.0,31010.0,9684706.0,22454.0,5883840.0,18350.0,4326000.0,8000.0,319740.0,11.0,16021480.0,28051.0,21136710.0,39724.0,2654610.0,3449.0
71,Corée du Nord,900000.0,186502.0,1200000.0,284938.0,4190105.0,10000.0,1247476.0,2000.0,2805621.0,6000.0,,,3846296.0,18090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,1.0,,,,
